Date,Day,Breakfast,Plates in Phase 1,Plates in Phase 2,Plates in Phase 3,Plates in Phase 4,Plate Dum,Event,Next Day Reduction,Total Students
2022-04-01,weekday,"Aloo Paratha, Curd, Orange",130,409,488,486,1536,False,False,1513
2022-04-02,weekend,"Aloo Paratha, Curd, Orange",64,536,326,576,1519,False,False,1502
2022-04-03,weekend,"Ajwani Paratha, Aloo Tamatar, Banana",21,431,352,539,1367,False,False,1343
2022-04-04,weekday,"Pao, Bhaji and Mix Fruit",122,497,489,472,1602,False,False,1580
2022-04-05,weekday,Vermicelli Upma and Mix Fruits,93,513,398,542,1561,False,False,1546
2022-04-06,weekday,Sooji Upma and Peanut Chutney,117,484,354,537,1518,False,False,1492
2022-04-07,weekday,"Poori Matar Masala, Boiled Egg and Banana",66,273,230,326,922,True,True,895
2022-04-08,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",82,584,361,571,1633,False,False,1598
2022-04-09,weekend,Sooji Upma and Peanut Chutney,98,430,453,587,1609,False,False,1568
2022-04-10,weekend,Sooji Upma and Peanut Chutney,56,519,408,453,1469,False,False,1436
2022-04-11,weekday,Vermicelli Upma and Mix Fruits,111,462,476,571,1638,False,False,1620
2022-04-12,weekday,Vermicelli Upma and Mix Fruits,126,576,344,593,1653,False,False,1639
2022-04-13,weekday,"Poori Matar Masala, Boiled Egg and Banana",78,425,468,541,1537,False,False,1512
2022-04-14,weekday,"Aloo Paratha, Curd, Orange",122,539,322,504,1512,False,False,1487
2022-04-15,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",78,363,208,356,1046,True,True,1005
2022-04-16,weekend,"Poha, Egg Bhurji, Mix Fruit",42,474,456,496,1492,False,False,1468
2022-04-17,weekend,"Poha, Egg Bhurji, Mix Fruit",18,333,216,294,903,True,True,861
2022-04-18,weekday,"Pao, Bhaji and Mix Fruit",77,462,345,491,1391,False,False,1375
2022-04-19,weekday,"Pao, Bhaji and Mix Fruit",99,514,390,540,1567,False,False,1543
2022-04-20,weekday,"Poha, Egg Bhurji, Mix Fruit",118,452,472,554,1615,False,False,1596
2022-04-21,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",125,511,373,460,1499,False,False,1469
2022-04-22,weekday,"Pao, Bhaji and Mix Fruit",119,506,412,533,1583,False,False,1570
2022-04-23,weekend,"Ajwani Paratha, Aloo Tamatar, Banana",7,417,377,519,1345,False,False,1320
2022-04-24,weekend,"Poha, Egg Bhurji, Mix Fruit",48,518,377,528,1499,False,False,1471
2022-04-25,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",86,477,495,584,1666,False,False,1642
2022-04-26,weekday,"Pao, Bhaji and Mix Fruit",89,462,411,478,1474,False,False,1440
2022-04-27,weekday,Vermicelli Upma and Mix Fruits,78,436,341,542,1428,False,False,1397
2022-04-28,weekday,"Pao, Bhaji and Mix Fruit",124,579,390,535,1642,False,False,1628
2022-04-29,weekday,Vermicelli Upma and Mix Fruits,78,419,330,596,1466,False,False,1423
2022-04-30,weekend,"Ajwani Paratha, Aloo Tamatar, Banana",4,341,239,282,882,True,True,866
2022-05-01,weekend,Sooji Upma and Peanut Chutney,39,496,408,547,1535,False,False,1490
2022-05-02,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",104,580,457,597,1753,False,False,1738
2022-05-03,weekday,Vermicelli Upma and Mix Fruits,85,577,394,585,1686,False,False,1641
2022-05-04,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",119,506,449,534,1656,False,False,1608
2022-05-05,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",90,542,463,492,1602,False,False,1587
2022-05-06,weekday,"Poha, Egg Bhurji, Mix Fruit",90,498,338,502,1465,False,False,1428
2022-05-07,weekend,"Aloo Paratha, Curd, Orange",130,515,447,534,1652,False,False,1626
2022-05-08,weekend,"Poori Matar Masala, Boiled Egg and Banana",100,474,486,550,1627,False,False,1610
2022-05-09,weekday,"Aloo Paratha, Curd, Orange",116,479,428,484,1549,False,False,1507
2022-05-10,weekday,"Pao, Bhaji and Mix Fruit",83,562,474,544,1698,False,False,1663
2022-05-11,weekday,"Poha, Egg Bhurji, Mix Fruit",130,422,412,534,1535,False,False,1498
2022-05-12,weekday,"Aloo Paratha, Curd, Orange",81,523,357,568,1551,False,False,1529
2022-05-13,weekday,Sooji Upma and Peanut Chutney,113,454,489,592,1660,False,False,1648
2022-05-14,weekend,Sooji Upma and Peanut Chutney,1,546,451,567,1585,False,False,1565
2022-05-15,weekend,"Ajwani Paratha, Aloo Tamatar, Banana",41,591,314,528,1500,False,False,1474
2022-05-16,weekday,Sooji Upma and Peanut Chutney,89,419,413,470,1431,False,False,1391
2022-05-17,weekday,Sooji Upma and Peanut Chutney,103,584,424,460,1603,False,False,1571
2022-05-18,weekday,"Poori Matar Masala, Boiled Egg and Banana",107,573,472,489,1673,False,False,1641
2022-05-19,weekday,"Aloo Paratha, Curd, Orange",84,560,447,483,1616,False,False,1574
2022-05-20,weekday,"Pao, Bhaji and Mix Fruit",78,560,412,512,1583,False,False,1562
2022-05-21,weekend,Vermicelli Upma and Mix Fruits,31,539,444,525,1560,False,False,1539
2022-05-22,weekend,"Pao, Bhaji and Mix Fruit",6,557,329,497,1403,False,False,1389
2022-05-23,weekday,"Pao, Bhaji and Mix Fruit",115,401,378,560,1481,False,False,1454
2022-05-24,weekday,"Poori Matar Masala, Boiled Egg and Banana",46,336,250,305,972,True,True,937
2022-05-25,weekday,"Poha, Egg Bhurji, Mix Fruit",84,495,468,479,1554,False,False,1526
2022-05-26,weekday,Sooji Upma and Peanut Chutney,128,452,458,600,1674,False,False,1638
2022-05-27,weekday,Vermicelli Upma and Mix Fruits,116,537,352,460,1503,False,False,1465
2022-05-28,weekend,Sooji Upma and Peanut Chutney,106,420,371,495,1436,False,False,1392
2022-05-29,weekend,"Aloo Paratha, Curd, Orange",124,584,310,592,1644,False,False,1610
2022-05-30,weekday,"Poori Matar Masala, Boiled Egg and Banana",128,438,302,551,1434,False,False,1419
2022-05-31,weekday,"Aloo Paratha, Curd, Orange",99,438,438,522,1535,False,False,1497
2022-06-01,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",113,425,370,582,1501,False,False,1490
2022-06-02,weekday,"Pao, Bhaji and Mix Fruit",120,547,486,461,1635,False,False,1614
2022-06-03,weekday,"Pao, Bhaji and Mix Fruit",93,478,343,458,1416,False,False,1372
2022-06-04,weekend,Vermicelli Upma and Mix Fruits,93,592,343,481,1522,False,False,1509
2022-06-05,weekend,"Poha, Egg Bhurji, Mix Fruit",33,420,363,534,1368,False,False,1350
2022-06-06,weekday,"Poori Matar Masala, Boiled Egg and Banana",102,485,322,562,1518,False,False,1471
2022-06-07,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",98,530,429,581,1677,False,False,1638
2022-06-08,weekday,"Poori Matar Masala, Boiled Egg and Banana",82,411,481,599,1604,False,False,1573
2022-06-09,weekday,Vermicelli Upma and Mix Fruits,112,520,405,510,1593,False,False,1547
2022-06-10,weekday,"Pao, Bhaji and Mix Fruit",97,491,338,467,1424,False,False,1393
2022-06-11,weekend,Sooji Upma and Peanut Chutney,72,590,322,541,1544,False,False,1525
2022-06-12,weekend,"Aloo Paratha, Curd, Orange",78,295,270,342,1015,True,True,985
2022-06-13,weekday,Vermicelli Upma and Mix Fruits,108,429,478,562,1608,False,False,1577
2022-06-14,weekday,"Poori Matar Masala, Boiled Egg and Banana",49,254,226,326,865,True,True,855
2022-06-15,weekday,Sooji Upma and Peanut Chutney,119,456,473,595,1687,False,False,1643
2022-06-16,weekday,"Pao, Bhaji and Mix Fruit",101,520,324,511,1471,False,False,1456
2022-06-17,weekday,Vermicelli Upma and Mix Fruits,96,459,377,552,1516,False,False,1484
2022-06-18,weekend,Vermicelli Upma and Mix Fruits,109,473,376,470,1465,False,False,1428
2022-06-19,weekend,"Aloo Paratha, Curd, Orange",120,504,440,595,1703,False,False,1659
2022-06-20,weekday,"Aloo Paratha, Curd, Orange",92,410,463,580,1567,False,False,1545
2022-06-21,weekday,"Aloo Paratha, Curd, Orange",111,513,337,540,1517,False,False,1501
2022-06-22,weekday,"Pao, Bhaji and Mix Fruit",94,507,439,502,1553,False,False,1542
2022-06-23,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",78,467,393,548,1520,False,False,1486
2022-06-24,weekday,"Pao, Bhaji and Mix Fruit",115,400,425,574,1542,False,False,1514
2022-06-25,weekend,"Aloo Paratha, Curd, Orange",16,581,300,540,1482,False,False,1437
2022-06-26,weekend,"Ajwani Paratha, Aloo Tamatar, Banana",24,561,386,569,1550,False,False,1540
2022-06-27,weekday,Sooji Upma and Peanut Chutney,128,485,363,567,1590,False,False,1543
2022-06-28,weekday,Vermicelli Upma and Mix Fruits,97,477,342,563,1518,False,False,1479
2022-06-29,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",129,450,412,460,1493,False,False,1451
2022-06-30,weekday,"Pao, Bhaji and Mix Fruit",118,496,404,580,1615,False,False,1598
2022-07-01,weekday,"Poha, Egg Bhurji, Mix Fruit",88,502,453,579,1667,False,False,1622
2022-07-02,weekend,Sooji Upma and Peanut Chutney,120,560,338,499,1560,False,False,1517
2022-07-03,weekend,Vermicelli Upma and Mix Fruits,114,484,375,490,1492,False,False,1463
2022-07-04,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",130,559,435,472,1623,False,False,1596
2022-07-05,weekday,Vermicelli Upma and Mix Fruits,82,536,307,511,1446,False,False,1436
2022-07-06,weekday,"Pao, Bhaji and Mix Fruit",111,572,487,598,1805,False,False,1768
2022-07-07,weekday,"Poori Matar Masala, Boiled Egg and Banana",127,571,489,512,1744,False,False,1699
2022-07-08,weekday,Sooji Upma and Peanut Chutney,115,445,347,539,1459,False,False,1446
2022-07-09,weekend,"Aloo Paratha, Curd, Orange",111,523,349,599,1613,False,False,1582
2022-07-10,weekend,Sooji Upma and Peanut Chutney,88,590,373,458,1533,False,False,1509
2022-07-11,weekday,Sooji Upma and Peanut Chutney,105,459,441,563,1591,False,False,1568
2022-07-12,weekday,"Poori Matar Masala, Boiled Egg and Banana",98,470,415,460,1471,False,False,1443
2022-07-13,weekday,"Aloo Paratha, Curd, Orange",54,336,228,324,988,True,True,942
2022-07-14,weekday,"Pao, Bhaji and Mix Fruit",90,578,311,539,1556,False,False,1518
2022-07-15,weekday,Vermicelli Upma and Mix Fruits,124,584,447,506,1693,False,False,1661
2022-07-16,weekend,"Aloo Paratha, Curd, Orange",73,452,334,460,1345,False,False,1319
2022-07-17,weekend,"Aloo Paratha, Curd, Orange",19,584,316,591,1546,False,False,1510
2022-07-18,weekday,"Aloo Paratha, Curd, Orange",77,589,406,596,1703,False,False,1668
2022-07-19,weekday,Sooji Upma and Peanut Chutney,97,405,455,459,1428,False,False,1416
2022-07-20,weekday,"Poori Matar Masala, Boiled Egg and Banana",98,504,487,523,1624,False,False,1612
2022-07-21,weekday,"Aloo Paratha, Curd, Orange",91,459,300,459,1339,False,False,1309
2022-07-22,weekday,Sooji Upma and Peanut Chutney,92,497,359,488,1453,False,False,1436
2022-07-23,weekend,"Poha, Egg Bhurji, Mix Fruit",84,425,375,536,1453,False,False,1420
2022-07-24,weekend,"Poha, Egg Bhurji, Mix Fruit",95,479,450,574,1618,False,False,1598
2022-07-25,weekday,"Poori Matar Masala, Boiled Egg and Banana",129,507,327,539,1530,False,False,1502
2022-07-26,weekday,Sooji Upma and Peanut Chutney,110,519,381,538,1570,False,False,1548
2022-07-27,weekday,"Pao, Bhaji and Mix Fruit",79,548,315,548,1535,False,False,1490
2022-07-28,weekday,"Pao, Bhaji and Mix Fruit",77,415,307,592,1436,False,False,1391
2022-07-29,weekday,"Aloo Paratha, Curd, Orange",115,482,418,540,1577,False,False,1555
2022-07-30,weekend,"Aloo Paratha, Curd, Orange",105,464,474,596,1662,False,False,1639
2022-07-31,weekend,Vermicelli Upma and Mix Fruits,73,479,318,481,1382,False,False,1351
2022-08-01,weekday,Sooji Upma and Peanut Chutney,123,516,357,474,1495,False,False,1470
2022-08-02,weekday,"Poha, Egg Bhurji, Mix Fruit",102,473,399,572,1558,False,False,1546
2022-08-03,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",116,596,452,471,1665,False,False,1635
2022-08-04,weekday,"Pao, Bhaji and Mix Fruit",117,600,386,510,1658,False,False,1613
2022-08-05,weekday,"Aloo Paratha, Curd, Orange",117,464,446,478,1530,False,False,1505
2022-08-06,weekend,"Pao, Bhaji and Mix Fruit",72,502,494,468,1559,False,False,1536
2022-08-07,weekend,"Pao, Bhaji and Mix Fruit",102,405,410,474,1403,False,False,1391
2022-08-08,weekday,Sooji Upma and Peanut Chutney,85,491,500,557,1678,False,False,1633
2022-08-09,weekday,Vermicelli Upma and Mix Fruits,101,525,349,576,1564,False,False,1551
2022-08-10,weekday,"Pao, Bhaji and Mix Fruit",82,523,432,536,1604,False,False,1573
2022-08-11,weekday,Vermicelli Upma and Mix Fruits,102,552,431,590,1720,False,False,1675
2022-08-12,weekday,Vermicelli Upma and Mix Fruits,113,572,366,586,1671,False,False,1637
2022-08-13,weekend,"Aloo Paratha, Curd, Orange",30,558,305,538,1466,False,False,1431
2022-08-14,weekend,"Poori Matar Masala, Boiled Egg and Banana",66,592,410,525,1617,False,False,1593
2022-08-15,weekday,"Poha, Egg Bhurji, Mix Fruit",87,443,401,518,1487,False,False,1449
2022-08-16,weekday,"Pao, Bhaji and Mix Fruit",112,458,497,573,1681,False,False,1640
2022-08-17,weekday,Vermicelli Upma and Mix Fruits,130,544,453,487,1647,False,False,1614
2022-08-18,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",107,401,391,571,1488,False,False,1470
2022-08-19,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",110,429,385,512,1469,False,False,1436
2022-08-20,weekend,"Poori Matar Masala, Boiled Egg and Banana",19,500,323,502,1367,False,False,1344
2022-08-21,weekend,"Aloo Paratha, Curd, Orange",107,573,493,460,1668,False,False,1633
2022-08-22,weekday,"Aloo Paratha, Curd, Orange",83,443,326,551,1436,False,False,1403
2022-08-23,weekday,"Pao, Bhaji and Mix Fruit",77,595,470,572,1761,False,False,1714
2022-08-24,weekday,"Poha, Egg Bhurji, Mix Fruit",111,560,409,559,1668,False,False,1639
2022-08-25,weekday,"Poha, Egg Bhurji, Mix Fruit",113,546,415,528,1634,False,False,1602
2022-08-26,weekday,Sooji Upma and Peanut Chutney,116,402,307,582,1440,False,False,1407
2022-08-27,weekend,"Pao, Bhaji and Mix Fruit",29,257,268,302,896,True,True,856
2022-08-28,weekend,"Poori Matar Masala, Boiled Egg and Banana",105,569,322,455,1477,False,False,1451
2022-08-29,weekday,"Pao, Bhaji and Mix Fruit",99,578,321,466,1508,False,False,1464
2022-08-30,weekday,"Pao, Bhaji and Mix Fruit",102,495,387,541,1544,False,False,1525
2022-08-31,weekday,"Pao, Bhaji and Mix Fruit",122,570,312,584,1637,False,False,1588
2022-09-01,weekday,"Pao, Bhaji and Mix Fruit",82,419,431,497,1451,False,False,1429
2022-09-02,weekday,"Aloo Paratha, Curd, Orange",110,432,354,501,1409,False,False,1397
2022-09-03,weekend,"Poha, Egg Bhurji, Mix Fruit",122,548,462,457,1599,False,False,1589
2022-09-04,weekend,Vermicelli Upma and Mix Fruits,124,471,345,467,1446,False,False,1407
2022-09-05,weekday,Sooji Upma and Peanut Chutney,83,501,325,507,1466,False,False,1416
2022-09-06,weekday,Vermicelli Upma and Mix Fruits,103,412,331,559,1424,False,False,1405
2022-09-07,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",96,513,396,494,1516,False,False,1499
2022-09-08,weekday,"Poori Matar Masala, Boiled Egg and Banana",89,502,415,570,1588,False,False,1576
2022-09-09,weekday,"Poori Matar Masala, Boiled Egg and Banana",107,542,412,551,1650,False,False,1612
2022-09-10,weekend,"Pao, Bhaji and Mix Fruit",80,497,392,598,1592,False,False,1567
2022-09-11,weekend,"Ajwani Paratha, Aloo Tamatar, Banana",122,534,418,579,1700,False,False,1653
2022-09-12,weekday,"Poha, Egg Bhurji, Mix Fruit",99,488,344,519,1482,False,False,1450
2022-09-13,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",114,443,376,545,1521,False,False,1478
2022-09-14,weekday,"Poha, Egg Bhurji, Mix Fruit",125,587,319,530,1595,False,False,1561
2022-09-15,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",109,593,491,469,1688,False,False,1662
2022-09-16,weekday,Sooji Upma and Peanut Chutney,57,283,258,358,975,True,True,956
2022-09-17,weekend,"Ajwani Paratha, Aloo Tamatar, Banana",30,414,472,595,1525,False,False,1511
2022-09-18,weekend,"Poha, Egg Bhurji, Mix Fruit",20,436,377,515,1368,False,False,1348
2022-09-19,weekday,"Aloo Paratha, Curd, Orange",113,581,410,595,1732,False,False,1699
2022-09-20,weekday,Vermicelli Upma and Mix Fruits,96,453,338,514,1447,False,False,1401
2022-09-21,weekday,Sooji Upma and Peanut Chutney,109,411,470,535,1563,False,False,1525
2022-09-22,weekday,"Pao, Bhaji and Mix Fruit",98,518,307,571,1505,False,False,1494
2022-09-23,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",128,459,409,478,1492,False,False,1474
2022-09-24,weekend,"Poha, Egg Bhurji, Mix Fruit",95,532,386,577,1623,False,False,1590
2022-09-25,weekend,"Poori Matar Masala, Boiled Egg and Banana",1,416,322,469,1236,False,False,1208
2022-09-26,weekday,"Pao, Bhaji and Mix Fruit",114,502,308,507,1443,False,False,1431
2022-09-27,weekday,Sooji Upma and Peanut Chutney,46,297,263,364,1011,True,True,970
2022-09-28,weekday,Sooji Upma and Peanut Chutney,124,552,385,567,1652,False,False,1628
2022-09-29,weekday,"Poori Matar Masala, Boiled Egg and Banana",76,547,419,554,1645,False,False,1596
2022-09-30,weekday,"Poha, Egg Bhurji, Mix Fruit",75,436,386,534,1453,False,False,1431
2022-10-01,weekend,Sooji Upma and Peanut Chutney,70,563,500,518,1674,False,False,1651
2022-10-02,weekend,"Aloo Paratha, Curd, Orange",14,574,300,484,1390,False,False,1372
2022-10-03,weekday,"Poha, Egg Bhurji, Mix Fruit",104,410,482,503,1516,False,False,1499
2022-10-04,weekday,Sooji Upma and Peanut Chutney,116,556,387,460,1541,False,False,1519
2022-10-05,weekday,"Poori Matar Masala, Boiled Egg and Banana",108,401,493,534,1584,False,False,1536
2022-10-06,weekday,Vermicelli Upma and Mix Fruits,130,564,303,535,1581,False,False,1532
2022-10-07,weekday,"Pao, Bhaji and Mix Fruit",121,513,325,565,1558,False,False,1524
2022-10-08,weekend,Sooji Upma and Peanut Chutney,23,594,412,517,1568,False,False,1546
2022-10-09,weekend,"Poori Matar Masala, Boiled Egg and Banana",128,555,440,542,1681,False,False,1665
2022-10-10,weekday,"Aloo Paratha, Curd, Orange",97,470,336,571,1520,False,False,1474
2022-10-11,weekday,"Poha, Egg Bhurji, Mix Fruit",118,581,485,592,1799,False,False,1776
2022-10-12,weekday,"Poha, Egg Bhurji, Mix Fruit",121,508,348,570,1564,False,False,1547
2022-10-13,weekday,Vermicelli Upma and Mix Fruits,97,460,495,504,1592,False,False,1556
2022-10-14,weekday,"Pao, Bhaji and Mix Fruit",92,539,444,487,1583,False,False,1562
2022-10-15,weekend,"Pao, Bhaji and Mix Fruit",41,400,349,596,1400,False,False,1386
2022-10-16,weekend,Vermicelli Upma and Mix Fruits,28,476,370,600,1500,False,False,1474
2022-10-17,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",92,472,361,474,1413,False,False,1399
2022-10-18,weekday,Sooji Upma and Peanut Chutney,60,299,204,309,907,True,True,872
2022-10-19,weekday,"Poha, Egg Bhurji, Mix Fruit",99,496,321,481,1434,False,False,1397
2022-10-20,weekday,"Ajwani Paratha, Aloo Tamatar, Banana",128,524,481,562,1705,False,False,1695
2022-10-21,weekday,"Pao, Bhaji and Mix Fruit",120,531,406,541,1609,False,False,1598
2022-10-22,weekend,"Poha, Egg Bhurji, Mix Fruit",102,478,448,455,1511,False,False,1483
2022-10-23,weekend,"Poha, Egg Bhurji, Mix Fruit",63,538,417,597,1633,False,False,1615
2022-10-24,weekday,"Aloo Paratha, Curd, Orange",120,445,435,494,1544,False,False,1494
2022-10-25,weekday,Vermicelli Upma and Mix Fruits,114,533,452,454,1572,False,False,1553
2022-10-26,weekday,"Poha, Egg Bhurji, Mix Fruit",90,519,483,527,1638,False,False,1619
2022-10-27,weekday,Vermicelli Upma and Mix Fruits,121,499,446,551,1628,False,False,1617
2022-10-28,weekday,Vermicelli Upma and Mix Fruits,89,585,479,499,1672,False,False,1652
