Date,Day,Lunch,Plates in Phase 1,Plates in Phase 2,Plates in Phase 3,Plates in Phase 4,Plate Dum,Event,Total Students
01-04-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",634,1825,1631,1317,6385,TRUE,5407
02-04-2022,weekend,"('Urial Roast', 'Idli', 'Sambhar')",83,2488,1683,1268,5539,FALSE,5522
03-04-2022,weekend,"('Handi veg', 'shahi panner', 'Moong Dal')",636,1904,1632,1280,5800,FALSE,5452
04-04-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",513,1810,1764,1324,7559,FALSE,5411
05-04-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",511,1821,1656,1316,6473,FALSE,5304
06-04-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",518,1864,1635,1203,6756,FALSE,5220
07-04-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",506,2044,1687,1240,6264,FALSE,5477
08-04-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",521,1969,1711,1226,6816,FALSE,5427
09-04-2022,weekend,"('Handi veg', 'shahi panner', 'Moong Dal')",579,1839,1835,1335,6439,FALSE,5588
10-04-2022,weekend,"('Handi veg', 'shahi panner', 'Moong Dal')",550,1852,1647,1499,6078,FALSE,5548
11-04-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",547,1919,1639,1324,6380,FALSE,5429
12-04-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",518,1820,1735,1335,7060,FALSE,5408
13-04-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",514,1809,1609,1345,6946,FALSE,5277
14-04-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",514,1874,1677,1321,6154,FALSE,5386
15-04-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",505,1834,1809,1301,6543,FALSE,5449
16-04-2022,weekend,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",509,1800,1601,1418,5710,FALSE,5328
17-04-2022,weekend,"('Urial Roast', 'Idli', 'Sambhar')",592,2071,1611,1297,5811,TRUE,5571
18-04-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",654,1864,1658,1311,6351,FALSE,5487
19-04-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",511,1950,1641,1249,6575,FALSE,5351
20-04-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",539,1813,1601,1391,6747,FALSE,5344
21-04-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",522,1851,1770,1224,7182,FALSE,5367
22-04-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",666,1822,1710,1224,6347,FALSE,5422
23-04-2022,weekend,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",113,2041,1904,1355,5448,FALSE,5413
24-04-2022,weekend,"('Mix veg', 'Paneer kadai', 'channa dal')",550,1852,1611,1376,5881,FALSE,5389
25-04-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",599,1939,1640,1268,7193,FALSE,5446
26-04-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",530,2014,1709,1246,6617,FALSE,5499
27-04-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",507,1875,1658,1460,7123,FALSE,5500
28-04-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",518,1810,1759,1344,6483,FALSE,5431
29-04-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",729,1809,1706,1234,6999,FALSE,5478
30-04-2022,weekend,"('Urial Roast', 'Idli', 'Sambhar')",58,2231,1710,1336,5373,FALSE,5335
01-05-2022,weekend,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",656,1824,1642,1319,5866,FALSE,5441
02-05-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",612,1837,1615,1248,6219,FALSE,5312
03-05-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",525,1834,1608,1205,6578,FALSE,5172
04-05-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",710,1811,1698,1238,6567,FALSE,5457
05-05-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",523,1879,1854,1210,6001,FALSE,5466
06-05-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",516,1851,1760,1227,6268,FALSE,5354
07-05-2022,weekend,"('Urial Roast', 'Idli', 'Sambhar')",718,1863,1621,1348,5617,FALSE,5550
08-05-2022,weekend,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",676,1840,1619,1416,5842,FALSE,5551
09-05-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",787,1847,1611,1245,7287,FALSE,5490
10-05-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",592,1868,1660,1337,6847,FALSE,5457
11-05-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",543,1804,1792,1279,6593,FALSE,5418
12-05-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",710,1815,1609,1259,6221,FALSE,5393
13-05-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",586,1801,1750,1247,6209,FALSE,5384
14-05-2022,weekend,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",586,1865,1846,1205,5935,FALSE,5502
15-05-2022,weekend,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",500,1932,1621,1421,6332,FALSE,5474
16-05-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",547,1898,1660,1303,6851,FALSE,5408
17-05-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",599,1815,1647,1334,6593,FALSE,5395
18-05-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",522,1951,1677,1262,6278,FALSE,5412
19-05-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",576,1933,1637,1289,6920,FALSE,5435
20-05-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",521,1895,1733,1233,7701,FALSE,5382
21-05-2022,weekend,"('Handi veg', 'shahi panner', 'Moong Dal')",552,1906,1658,1216,6428,FALSE,5332
22-05-2022,weekend,"('Mix veg', 'Paneer kadai', 'channa dal')",525,2099,1627,1282,6660,FALSE,5533
23-05-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",559,1835,1705,1299,6683,FALSE,5398
24-05-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",554,1819,1759,1217,7068,FALSE,5349
25-05-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",554,1893,1662,1351,7605,FALSE,5460
26-05-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",659,1811,1610,1384,5801,FALSE,5464
27-05-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",534,1800,1912,1252,7153,FALSE,5498
28-05-2022,weekend,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",69,1859,2010,1346,5298,TRUE,5284
29-05-2022,weekend,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",688,1814,1648,1225,5855,FALSE,5375
30-05-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",570,1872,1756,1233,6148,TRUE,5431
31-05-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",597,1802,1888,1206,6270,FALSE,5493
01-06-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",797,1807,1600,1227,6946,FALSE,5431
02-06-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",600,1811,1722,1232,7245,FALSE,5365
03-06-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",648,1892,1631,1304,6786,FALSE,5475
04-06-2022,weekend,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",529,1993,1759,1233,6004,TRUE,5514
05-06-2022,weekend,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",529,1895,1828,1223,5902,FALSE,5475
06-06-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",603,1813,1693,1325,6814,FALSE,5434
07-06-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",731,1840,1703,1207,6791,FALSE,5481
08-06-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",549,1936,1610,1362,6641,FALSE,5457
09-06-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",540,1923,1656,1372,6243,FALSE,5491
10-06-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",589,2032,1655,1209,6679,FALSE,5485
11-06-2022,weekend,"('Handi veg', 'shahi panner', 'Moong Dal')",586,1924,1614,1307,6076,FALSE,5431
12-06-2022,weekend,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",641,1934,1626,1315,5974,FALSE,5516
13-06-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",535,1965,1747,1223,6152,FALSE,5470
14-06-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",540,1814,1727,1326,6179,FALSE,5407
15-06-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",515,1855,1657,1297,6567,FALSE,5324
16-06-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",556,1845,1713,1272,7054,FALSE,5386
17-06-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",520,2083,1607,1267,6965,FALSE,5477
18-06-2022,weekend,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",551,1934,1723,1373,7068,FALSE,5581
19-06-2022,weekend,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",532,2019,1612,1305,5845,FALSE,5468
20-06-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",628,1825,1728,1262,6971,FALSE,5443
21-06-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",512,1944,1649,1376,6746,FALSE,5481
22-06-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",624,1860,1618,1337,7231,FALSE,5439
23-06-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",502,2040,1696,1236,5803,FALSE,5474
24-06-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",666,1893,1634,1211,6958,FALSE,5404
25-06-2022,weekend,"('Urial Roast', 'Idli', 'Sambhar')",503,2036,1792,1234,6351,FALSE,5565
26-06-2022,weekend,"('Urial Roast', 'Idli', 'Sambhar')",516,1850,1853,1281,6617,FALSE,5500
27-06-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",500,1803,1739,1441,7790,FALSE,5483
28-06-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",567,1863,1693,1257,7191,FALSE,5380
29-06-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",568,1838,1615,1260,6490,FALSE,5281
30-06-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",510,1926,1658,1310,7313,FALSE,5404
01-07-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",689,1891,1657,1214,6713,FALSE,5451
02-07-2022,weekend,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",521,2000,1700,1312,6302,TRUE,5533
03-07-2022,weekend,"('Handi veg', 'shahi panner', 'Moong Dal')",634,1861,1650,1417,6160,FALSE,5562
04-07-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",552,1891,1607,1430,5781,FALSE,5480
05-07-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",660,1849,1601,1368,7439,FALSE,5478
06-07-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",517,1969,1774,1200,7144,FALSE,5460
07-07-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",636,1982,1642,1239,7505,FALSE,5499
08-07-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",558,2105,1601,1202,7037,TRUE,5466
09-07-2022,weekend,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",3,2324,1700,1259,5308,FALSE,5286
10-07-2022,weekend,"('Urial Roast', 'Idli', 'Sambhar')",28,2183,1909,1296,5431,FALSE,5416
11-07-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",799,1872,1623,1201,6961,FALSE,5495
12-07-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",504,1875,1721,1316,6864,FALSE,5416
13-07-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",562,1954,1620,1216,6536,FALSE,5352
14-07-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",799,1808,1675,1211,7044,FALSE,5493
15-07-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",599,1866,1675,1239,6664,FALSE,5379
16-07-2022,weekend,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",501,1803,1625,1525,6665,FALSE,5454
17-07-2022,weekend,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",605,1962,1787,1208,5850,FALSE,5562
18-07-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",585,1863,1687,1260,6835,FALSE,5395
19-07-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",511,1947,1607,1421,6585,FALSE,5486
20-07-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",582,1952,1654,1248,6982,FALSE,5436
21-07-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",550,1847,1756,1233,6142,TRUE,5386
22-07-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",660,1885,1682,1218,6434,FALSE,5445
23-07-2022,weekend,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",530,1876,1904,1227,5952,TRUE,5537
24-07-2022,weekend,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",591,2022,1620,1221,7034,FALSE,5454
25-07-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",600,1831,1789,1267,6335,FALSE,5487
26-07-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",557,1836,1613,1305,6181,FALSE,5311
27-07-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",591,1841,1645,1388,5981,FALSE,5465
28-07-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",592,1825,1638,1274,7095,FALSE,5329
29-07-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",528,1877,1638,1433,6091,FALSE,5476
30-07-2022,weekend,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",570,2083,1654,1267,5853,FALSE,5574
31-07-2022,weekend,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",597,1976,1672,1214,6569,FALSE,5459
01-08-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",590,1868,1636,1217,6088,FALSE,5311
02-08-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",529,1804,1798,1223,6618,FALSE,5354
03-08-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",567,1959,1670,1233,6793,FALSE,5429
04-08-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",555,1848,1646,1256,6502,FALSE,5305
05-08-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",606,1929,1653,1294,6610,FALSE,5482
06-08-2022,weekend,"('Mix veg', 'Paneer kadai', 'channa dal')",661,1997,1624,1292,6142,FALSE,5574
07-08-2022,weekend,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",569,1882,1756,1307,5836,FALSE,5514
08-08-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",520,2003,1664,1245,7669,FALSE,5432
09-08-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",692,1875,1614,1215,7222,FALSE,5396
10-08-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",578,1999,1612,1241,7052,FALSE,5430
11-08-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",674,1856,1643,1307,5912,FALSE,5480
12-08-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",537,2051,1613,1209,6261,FALSE,5410
13-08-2022,weekend,"('Handi veg', 'shahi panner', 'Moong Dal')",42,1886,1763,1808,5518,FALSE,5499
14-08-2022,weekend,"('Urial Roast', 'Idli', 'Sambhar')",47,1841,2101,1508,5540,FALSE,5497
15-08-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",504,2028,1636,1328,7019,FALSE,5496
16-08-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",662,1809,1688,1261,6311,FALSE,5420
17-08-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",513,1929,1657,1380,7318,FALSE,5479
18-08-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",612,1800,1713,1283,6965,FALSE,5408
19-08-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",504,1822,1778,1338,6113,FALSE,5442
20-08-2022,weekend,"('Mix veg', 'Paneer kadai', 'channa dal')",558,1878,1704,1250,6059,FALSE,5390
21-08-2022,weekend,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",44,2369,1646,1392,5465,FALSE,5451
22-08-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",540,1864,1636,1212,7094,FALSE,5252
23-08-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",703,1895,1647,1206,6742,FALSE,5451
24-08-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",526,1825,1850,1286,7119,FALSE,5487
25-08-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",604,1825,1614,1329,6790,FALSE,5372
26-08-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",623,1808,1608,1403,6800,FALSE,5442
27-08-2022,weekend,"('Handi veg', 'shahi panner', 'Moong Dal')",733,1959,1658,1228,6220,FALSE,5578
28-08-2022,weekend,"('Handi veg', 'shahi panner', 'Moong Dal')",638,1955,1645,1295,5719,FALSE,5533
29-08-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",568,1917,1603,1399,6859,FALSE,5487
30-08-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",533,1884,1627,1269,6651,FALSE,5313
31-08-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",615,1809,1613,1405,6467,FALSE,5442
01-09-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",513,1843,1624,1322,7069,FALSE,5302
02-09-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",506,1997,1613,1298,7282,FALSE,5414
03-09-2022,weekend,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",641,1978,1694,1261,5693,FALSE,5574
04-09-2022,weekend,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",613,1860,1624,1415,5958,FALSE,5512
05-09-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",502,1989,1691,1318,6983,FALSE,5500
06-09-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",501,1839,1655,1317,5329,FALSE,5312
07-09-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",653,1843,1675,1249,6816,FALSE,5420
08-09-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",574,1878,1647,1249,6326,FALSE,5348
09-09-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",536,1931,1627,1221,6948,FALSE,5315
10-09-2022,weekend,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",514,1868,1853,1332,5878,FALSE,5567
11-09-2022,weekend,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",544,1913,1891,1228,6169,FALSE,5576
